gmina_name;date;potas
Mniów;01.01.2004;
Mniszków;01.01.2004;
Mogielnica;01.01.2004;
Moskorzew;01.01.2004;
Moszczenica;01.01.2004;
Niegowa;01.01.2004;
Nowe Miasto nad Pilicą;01.01.2004;
Nowosolna;01.01.2004;
Odrzywół;01.01.2004;
Ogrodzieniec;01.01.2004;
Opoczno;01.01.2004;
Paradyż;01.01.2004;
Pilica;01.01.2004;
Piotrków Trybunalski;01.01.2004;
Poświętne;01.01.2004;
Promna;01.01.2004;
Przedbórz;01.01.2004;
Przysucha;01.01.2004;
Radoszyce;01.01.2004;
Radzanów;01.01.2004;
Ręczno;01.01.2004;
Rokiciny;01.01.2004;
Rozprza;01.01.2004;
Ruda Maleniecka;01.01.2004;
Rusinów;01.01.2004;
Rzeczyca;01.01.2004;
Sadkowice;01.01.2004;
Secemin;01.01.2004;
Sławno;01.01.2004;
Słupia;01.01.2004;
Słupia Konecka;01.01.2004;
Smyków;01.01.2004;
Stąporków;01.01.2004;
Stromiec;01.01.2004;
Sulejów;01.01.2004;
Szczekociny;01.01.2004;
Tomaszów Mazowiecki miasto;01.01.2004;
Tomaszów Mazowiecki wiejski;01.01.2004;
Tuszyn;01.01.2004;
Ujazd;01.01.2004;
Warka;01.01.2004;
Wielgomłyny;01.01.2004;
Włodowice;01.01.2004;
Włoszczowa;01.01.2004;
Wola Krzysztoporska;01.01.2004;
Wolbórz;01.01.2004;
Wolbrom;01.01.2004;
Wyśmierzyce;01.01.2004;
Zagnańsk;01.01.2004;
Zawiercie;01.01.2004;
Żarnowiec;01.01.2004;
Żarnów;01.01.2004;
Żytno;01.01.2004;
Aleksandrów;01.01.2005;
Andrespol;01.01.2005;
Belsk Duży;01.01.2005;
Będków;01.01.2005;
Białaczów;01.01.2005;
Białobrzegi;01.01.2005;
Bliżyn;01.01.2005;
Błędów;01.01.2005;
Brójce;01.01.2005;
Budziszewice;01.01.2005;
Charsznica;01.01.2005;
Czarnocin;01.01.2005;
Czerniewice;01.01.2005;
Drzewica;01.01.2005;
Fałków;01.01.2005;
Gielniów;01.01.2005;
Głowaczów;01.01.2005;
Gorzkowice;01.01.2005;
Goszczyn;01.01.2005;
Gowarczów;01.01.2005;
Grabica;01.01.2005;
Grabów nad Pilicą;01.01.2005;
Inowłódz;01.01.2005;
Irządze;01.01.2005;
Kluczewsko;01.01.2005;
Klwów;01.01.2005;
Kobiele Wielkie;01.01.2005;
Kodrąb;01.01.2005;
Koluszki;01.01.2005;
Koniecpol;01.01.2005;
Końskie;01.01.2005;
Kozłów;01.01.2005;
Krasocin;01.01.2005;
Kroczyce;01.01.2005;
Lelów;01.01.2005;
Lubochnia;01.01.2005;
Łęki Szlacheckie;01.01.2005;
Łopuszno;01.01.2005;
Magnuszew;01.01.2005;
Masłowice;01.01.2005;
Mniów;01.01.2005;
Mniszków;01.01.2005;
Mogielnica;01.01.2005;
Moskorzew;01.01.2005;
Moszczenica;01.01.2005;
Niegowa;01.01.2005;
Nowe Miasto nad Pilicą;01.01.2005;
Nowosolna;01.01.2005;
Odrzywół;01.01.2005;
Ogrodzieniec;01.01.2005;
Opoczno;01.01.2005;
Paradyż;01.01.2005;
Pilica;01.01.2005;
Piotrków Trybunalski;01.01.2005;
Poświętne;01.01.2005;
Promna;01.01.2005;
Przedbórz;01.01.2005;
Przysucha;01.01.2005;
Radoszyce;01.01.2005;
Radzanów;01.01.2005;
Ręczno;01.01.2005;
Rokiciny;01.01.2005;
Rozprza;01.01.2005;
Ruda Maleniecka;01.01.2005;
Rusinów;01.01.2005;
Rzeczyca;01.01.2005;
Sadkowice;01.01.2005;
Secemin;01.01.2005;
Sławno;01.01.2005;
Słupia;01.01.2005;
Słupia Konecka;01.01.2005;
Smyków;01.01.2005;
Stąporków;01.01.2005;
Stromiec;01.01.2005;
Sulejów;01.01.2005;
Szczekociny;01.01.2005;
Tomaszów Mazowiecki miasto;01.01.2005;
Tomaszów Mazowiecki wiejski;01.01.2005;
Tuszyn;01.01.2005;
Ujazd;01.01.2005;
Warka;01.01.2005;
Wielgomłyny;01.01.2005;
Włodowice;01.01.2005;
Włoszczowa;01.01.2005;
Wola Krzysztoporska;01.01.2005;
Wolbórz;01.01.2005;
Wolbrom;01.01.2005;
Wyśmierzyce;01.01.2005;
Zagnańsk;01.01.2005;
Zawiercie;01.01.2005;
Żarnowiec;01.01.2005;
Żarnów;01.01.2005;
Żytno;01.01.2005;
Aleksandrów;01.01.2006;
Andrespol;01.01.2006;
Belsk Duży;01.01.2006;
Będków;01.01.2006;
Białaczów;01.01.2006;
Białobrzegi;01.01.2006;
Bliżyn;01.01.2006;
Błędów;01.01.2006;
Brójce;01.01.2006;
Budziszewice;01.01.2006;
Charsznica;01.01.2006;
Czarnocin;01.01.2006;
Czerniewice;01.01.2006;
Drzewica;01.01.2006;
Fałków;01.01.2006;
Gielniów;01.01.2006;
Głowaczów;01.01.2006;
Gorzkowice;01.01.2006;
Goszczyn;01.01.2006;
Gowarczów;01.01.2006;
Grabica;01.01.2006;
Grabów nad Pilicą;01.01.2006;
Inowłódz;01.01.2006;
Irządze;01.01.2006;
Kluczewsko;01.01.2006;
Klwów;01.01.2006;
Kobiele Wielkie;01.01.2006;
Kodrąb;01.01.2006;
Koluszki;01.01.2006;
Koniecpol;01.01.2006;
Końskie;01.01.2006;
Kozłów;01.01.2006;
Krasocin;01.01.2006;
Kroczyce;01.01.2006;
Lelów;01.01.2006;
Lubochnia;01.01.2006;
Łęki Szlacheckie;01.01.2006;
Łopuszno;01.01.2006;
Magnuszew;01.01.2006;
Masłowice;01.01.2006;
Mniów;01.01.2006;
Mniszków;01.01.2006;
Mogielnica;01.01.2006;
Moskorzew;01.01.2006;
Moszczenica;01.01.2006;
Niegowa;01.01.2006;
Nowe Miasto nad Pilicą;01.01.2006;
Nowosolna;01.01.2006;
Odrzywół;01.01.2006;
Ogrodzieniec;01.01.2006;
Opoczno;01.01.2006;
Paradyż;01.01.2006;
Pilica;01.01.2006;
Piotrków Trybunalski;01.01.2006;
Poświętne;01.01.2006;
Promna;01.01.2006;
Przedbórz;01.01.2006;
Przysucha;01.01.2006;
Radoszyce;01.01.2006;
Radzanów;01.01.2006;
Ręczno;01.01.2006;
Rokiciny;01.01.2006;
Rozprza;01.01.2006;
Ruda Maleniecka;01.01.2006;
Rusinów;01.01.2006;
Rzeczyca;01.01.2006;
Sadkowice;01.01.2006;
Secemin;01.01.2006;
Sławno;01.01.2006;
Słupia;01.01.2006;
Słupia Konecka;01.01.2006;
Smyków;01.01.2006;
Stąporków;01.01.2006;
Stromiec;01.01.2006;
Sulejów;01.01.2006;
Szczekociny;01.01.2006;
Tomaszów Mazowiecki miasto;01.01.2006;
Tomaszów Mazowiecki wiejski;01.01.2006;
Tuszyn;01.01.2006;
Ujazd;01.01.2006;
Warka;01.01.2006;
Wielgomłyny;01.01.2006;
Włodowice;01.01.2006;
Włoszczowa;01.01.2006;
Wola Krzysztoporska;01.01.2006;
Wolbórz;01.01.2006;
Wolbrom;01.01.2006;
Wyśmierzyce;01.01.2006;
Zagnańsk;01.01.2006;
Zawiercie;01.01.2006;
Żarnowiec;01.01.2006;
Żarnów;01.01.2006;
Żytno;01.01.2006;
Aleksandrów;01.01.2007;
Andrespol;01.01.2007;
Belsk Duży;01.01.2007;
Będków;01.01.2007;
Białaczów;01.01.2007;
Białobrzegi;01.01.2007;
Bliżyn;01.01.2007;
Błędów;01.01.2007;
Brójce;01.01.2007;
Budziszewice;01.01.2007;
Charsznica;01.01.2007;
Czarnocin;01.01.2007;
Czerniewice;01.01.2007;
Drzewica;01.01.2007;
Fałków;01.01.2007;
Gielniów;01.01.2007;
Głowaczów;01.01.2007;
Gorzkowice;01.01.2007;
Goszczyn;01.01.2007;
Gowarczów;01.01.2007;
Grabica;01.01.2007;
Grabów nad Pilicą;01.01.2007;
Inowłódz;01.01.2007;
Irządze;01.01.2007;
Kluczewsko;01.01.2007;
Klwów;01.01.2007;
Kobiele Wielkie;01.01.2007;
Kodrąb;01.01.2007;
Koluszki;01.01.2007;
Koniecpol;01.01.2007;
Końskie;01.01.2007;
Kozłów;01.01.2007;
Krasocin;01.01.2007;
Kroczyce;01.01.2007;
Lelów;01.01.2007;
Lubochnia;01.01.2007;
Łęki Szlacheckie;01.01.2007;
Łopuszno;01.01.2007;
Magnuszew;01.01.2007;
Masłowice;01.01.2007;
Mniów;01.01.2007;
Mniszków;01.01.2007;
Mogielnica;01.01.2007;
Moskorzew;01.01.2007;
Moszczenica;01.01.2007;
Niegowa;01.01.2007;
Nowe Miasto nad Pilicą;01.01.2007;
Nowosolna;01.01.2007;
Odrzywół;01.01.2007;
Ogrodzieniec;01.01.2007;
Opoczno;01.01.2007;
Paradyż;01.01.2007;
Pilica;01.01.2007;
Piotrków Trybunalski;01.01.2007;
Poświętne;01.01.2007;
Promna;01.01.2007;
Przedbórz;01.01.2007;
Przysucha;01.01.2007;
Radoszyce;01.01.2007;
Radzanów;01.01.2007;
Ręczno;01.01.2007;
Rokiciny;01.01.2007;
Rozprza;01.01.2007;
Ruda Maleniecka;01.01.2007;
Rusinów;01.01.2007;
Rzeczyca;01.01.2007;
Sadkowice;01.01.2007;
Secemin;01.01.2007;
Sławno;01.01.2007;
Słupia;01.01.2007;
Słupia Konecka;01.01.2007;
Smyków;01.01.2007;
Stąporków;01.01.2007;
Stromiec;01.01.2007;
Sulejów;01.01.2007;
Szczekociny;01.01.2007;
Tomaszów Mazowiecki miasto;01.01.2007;
Tomaszów Mazowiecki wiejski;01.01.2007;
Tuszyn;01.01.2007;
Ujazd;01.01.2007;
Warka;01.01.2007;
Wielgomłyny;01.01.2007;
Włodowice;01.01.2007;
Włoszczowa;01.01.2007;
Wola Krzysztoporska;01.01.2007;
Wolbórz;01.01.2007;
Wolbrom;01.01.2007;
Wyśmierzyce;01.01.2007;
Zagnańsk;01.01.2007;
Zawiercie;01.01.2007;
Żarnowiec;01.01.2007;
Żarnów;01.01.2007;
Żytno;01.01.2007;
Aleksandrów;01.01.2008;
Andrespol;01.01.2008;
Belsk Duży;01.01.2008;
Będków;01.01.2008;
Białaczów;01.01.2008;
Białobrzegi;01.01.2008;
Bliżyn;01.01.2008;
Błędów;01.01.2008;
Brójce;01.01.2008;
Budziszewice;01.01.2008;
Charsznica;01.01.2008;
Czarnocin;01.01.2008;
Czerniewice;01.01.2008;
Drzewica;01.01.2008;
Fałków;01.01.2008;
Gielniów;01.01.2008;
Głowaczów;01.01.2008;
Gorzkowice;01.01.2008;
Goszczyn;01.01.2008;
Gowarczów;01.01.2008;
Grabica;01.01.2008;
Grabów nad Pilicą;01.01.2008;
Inowłódz;01.01.2008;
Irządze;01.01.2008;
Kluczewsko;01.01.2008;
Klwów;01.01.2008;
Kobiele Wielkie;01.01.2008;
Kodrąb;01.01.2008;
Koluszki;01.01.2008;
Koniecpol;01.01.2008;
Końskie;01.01.2008;
Kozłów;01.01.2008;
Krasocin;01.01.2008;
Kroczyce;01.01.2008;
Lelów;01.01.2008;
Lubochnia;01.01.2008;
Łęki Szlacheckie;01.01.2008;
Łopuszno;01.01.2008;
Magnuszew;01.01.2008;
Masłowice;01.01.2008;
Mniów;01.01.2008;
Mniszków;01.01.2008;
Mogielnica;01.01.2008;
Moskorzew;01.01.2008;
Moszczenica;01.01.2008;
Niegowa;01.01.2008;
Nowe Miasto nad Pilicą;01.01.2008;
Nowosolna;01.01.2008;
Odrzywół;01.01.2008;
Ogrodzieniec;01.01.2008;
Opoczno;01.01.2008;
Paradyż;01.01.2008;
Pilica;01.01.2008;
Piotrków Trybunalski;01.01.2008;
Poświętne;01.01.2008;
Promna;01.01.2008;
Przedbórz;01.01.2008;
Przysucha;01.01.2008;
Radoszyce;01.01.2008;
Radzanów;01.01.2008;
Ręczno;01.01.2008;
Rokiciny;01.01.2008;
Rozprza;01.01.2008;
Ruda Maleniecka;01.01.2008;
Rusinów;01.01.2008;
Rzeczyca;01.01.2008;
Sadkowice;01.01.2008;
Secemin;01.01.2008;
Sławno;01.01.2008;
Słupia;01.01.2008;
Słupia Konecka;01.01.2008;
Smyków;01.01.2008;
Stąporków;01.01.2008;
Stromiec;01.01.2008;
Sulejów;01.01.2008;
Szczekociny;01.01.2008;
Tomaszów Mazowiecki miasto;01.01.2008;
Tomaszów Mazowiecki wiejski;01.01.2008;
Tuszyn;01.01.2008;
Ujazd;01.01.2008;
Warka;01.01.2008;
Wielgomłyny;01.01.2008;
Włodowice;01.01.2008;
Włoszczowa;01.01.2008;
Wola Krzysztoporska;01.01.2008;
Wolbórz;01.01.2008;
Wolbrom;01.01.2008;
Wyśmierzyce;01.01.2008;
Zagnańsk;01.01.2008;
Zawiercie;01.01.2008;
Żarnowiec;01.01.2008;
Żarnów;01.01.2008;
Żytno;01.01.2008;
Aleksandrów;01.01.2009;
Andrespol;01.01.2009;
Belsk Duży;01.01.2009;
Będków;01.01.2009;
Białaczów;01.01.2009;
Białobrzegi;01.01.2009;
Bliżyn;01.01.2009;
Błędów;01.01.2009;
Brójce;01.01.2009;
Budziszewice;01.01.2009;
Charsznica;01.01.2009;
Czarnocin;01.01.2009;
Czerniewice;01.01.2009;
Drzewica;01.01.2009;
Fałków;01.01.2009;
Gielniów;01.01.2009;
Głowaczów;01.01.2009;
Gorzkowice;01.01.2009;
Goszczyn;01.01.2009;
Gowarczów;01.01.2009;
Grabica;01.01.2009;
Grabów nad Pilicą;01.01.2009;
Inowłódz;01.01.2009;
Irządze;01.01.2009;
Kluczewsko;01.01.2009;
Klwów;01.01.2009;
Kobiele Wielkie;01.01.2009;
Kodrąb;01.01.2009;
Koluszki;01.01.2009;
Koniecpol;01.01.2009;
Końskie;01.01.2009;
Kozłów;01.01.2009;
Krasocin;01.01.2009;
Kroczyce;01.01.2009;
Lelów;01.01.2009;
Lubochnia;01.01.2009;
Łęki Szlacheckie;01.01.2009;
Łopuszno;01.01.2009;
Magnuszew;01.01.2009;
Masłowice;01.01.2009;
Mniów;01.01.2009;
Mniszków;01.01.2009;
Mogielnica;01.01.2009;
Moskorzew;01.01.2009;
Moszczenica;01.01.2009;
Niegowa;01.01.2009;
Nowe Miasto nad Pilicą;01.01.2009;
Nowosolna;01.01.2009;
Odrzywół;01.01.2009;
Ogrodzieniec;01.01.2009;
Opoczno;01.01.2009;
Paradyż;01.01.2009;
Pilica;01.01.2009;
Piotrków Trybunalski;01.01.2009;
Poświętne;01.01.2009;
Promna;01.01.2009;
Przedbórz;01.01.2009;
Przysucha;01.01.2009;
Radoszyce;01.01.2009;
Radzanów;01.01.2009;
Ręczno;01.01.2009;
Rokiciny;01.01.2009;
Rozprza;01.01.2009;
Ruda Maleniecka;01.01.2009;
Rusinów;01.01.2009;
Rzeczyca;01.01.2009;
Sadkowice;01.01.2009;
Secemin;01.01.2009;
Sławno;01.01.2009;
Słupia;01.01.2009;
Słupia Konecka;01.01.2009;
Smyków;01.01.2009;
Stąporków;01.01.2009;
Stromiec;01.01.2009;
Sulejów;01.01.2009;
Szczekociny;01.01.2009;
Tomaszów Mazowiecki miasto;01.01.2009;
Tomaszów Mazowiecki wiejski;01.01.2009;
Tuszyn;01.01.2009;
Ujazd;01.01.2009;
Warka;01.01.2009;
Wielgomłyny;01.01.2009;
Włodowice;01.01.2009;
Włoszczowa;01.01.2009;
Wola Krzysztoporska;01.01.2009;
Wolbórz;01.01.2009;
Wolbrom;01.01.2009;
Wyśmierzyce;01.01.2009;
Zagnańsk;01.01.2009;
Zawiercie;01.01.2009;
Żarnowiec;01.01.2009;
Żarnów;01.01.2009;
Żytno;01.01.2009;
Aleksandrów;01.01.2010;437
Andrespol;01.01.2010;152
Belsk Duży;01.01.2010;1809
Będków;01.01.2010;1274
Białaczów;01.01.2010;747
Białobrzegi;01.01.2010;161
Bliżyn;01.01.2010;22
Błędów;01.01.2010;2383
Brójce;01.01.2010;755
Budziszewice;01.01.2010;654
Charsznica;01.01.2010;3027
Czarnocin;01.01.2010;1408
Czerniewice;01.01.2010;1156
Drzewica;01.01.2010;435
Fałków;01.01.2010;218
Gielniów;01.01.2010;108
Głowaczów;01.01.2010;427
Gorzkowice;01.01.2010;677
Goszczyn;01.01.2010;523
Gowarczów;01.01.2010;86
Grabica;01.01.2010;2808
Grabów nad Pilicą;01.01.2010;601
Inowłódz;01.01.2010;148
Irządze;01.01.2010;536
Kluczewsko;01.01.2010;402
Klwów;01.01.2010;927
Kobiele Wielkie;01.01.2010;2498
Kodrąb;01.01.2010;2616
Koluszki;01.01.2010;1262
Koniecpol;01.01.2010;687
Końskie;01.01.2010;107
Kozłów;01.01.2010;975
Krasocin;01.01.2010;1119
Kroczyce;01.01.2010;568
Lelów;01.01.2010;865
Lubochnia;01.01.2010;571
Łęki Szlacheckie;01.01.2010;686
Łopuszno;01.01.2010;956
Magnuszew;01.01.2010;941
Masłowice;01.01.2010;2075
Mniów;01.01.2010;93
Mniszków;01.01.2010;607
Mogielnica;01.01.2010;1535
Moskorzew;01.01.2010;657
Moszczenica;01.01.2010;1733
Niegowa;01.01.2010;571
Nowe Miasto nad Pilicą;01.01.2010;1878
Nowosolna;01.01.2010;376
Odrzywół;01.01.2010;534
Ogrodzieniec;01.01.2010;277
Opoczno;01.01.2010;526
Paradyż;01.01.2010;718
Pilica;01.01.2010;2031
Piotrków Trybunalski;01.01.2010;381
Poświętne;01.01.2010;926
Promna;01.01.2010;1846
Przedbórz;01.01.2010;828
Przysucha;01.01.2010;371
Radoszyce;01.01.2010;514
Radzanów;01.01.2010;1033
Ręczno;01.01.2010;620
Rokiciny;01.01.2010;1319
Rozprza;01.01.2010;1411
Ruda Maleniecka;01.01.2010;18
Rusinów;01.01.2010;565
Rzeczyca;01.01.2010;1345
Sadkowice;01.01.2010;2717
Secemin;01.01.2010;844
Sławno;01.01.2010;601
Słupia;01.01.2010;1940
Słupia Konecka;01.01.2010;444
Smyków;01.01.2010;68
Stąporków;01.01.2010;3
Stromiec;01.01.2010;420
Sulejów;01.01.2010;1168
Szczekociny;01.01.2010;1372
Tomaszów Mazowiecki miasto;01.01.2010;66
Tomaszów Mazowiecki wiejski;01.01.2010;477
Tuszyn;01.01.2010;1108
Ujazd;01.01.2010;950
Warka;01.01.2010;3233
Wielgomłyny;01.01.2010;2061
Włodowice;01.01.2010;51
Włoszczowa;01.01.2010;1687
Wola Krzysztoporska;01.01.2010;2657
Wolbórz;01.01.2010;2255
Wolbrom;01.01.2010;1765
Wyśmierzyce;01.01.2010;379
Zagnańsk;01.01.2010;11
Zawiercie;01.01.2010;473
Żarnowiec;01.01.2010;2594
Żarnów;01.01.2010;453
Żytno;01.01.2010;1344
Aleksandrów;01.01.2011;
Andrespol;01.01.2011;
Belsk Duży;01.01.2011;
Będków;01.01.2011;
Białaczów;01.01.2011;
Białobrzegi;01.01.2011;
Bliżyn;01.01.2011;
Błędów;01.01.2011;
Brójce;01.01.2011;
Budziszewice;01.01.2011;
Charsznica;01.01.2011;
Czarnocin;01.01.2011;
Czerniewice;01.01.2011;
Drzewica;01.01.2011;
Fałków;01.01.2011;
Gielniów;01.01.2011;
Głowaczów;01.01.2011;
Gorzkowice;01.01.2011;
Goszczyn;01.01.2011;
Gowarczów;01.01.2011;
Grabica;01.01.2011;
Grabów nad Pilicą;01.01.2011;
Inowłódz;01.01.2011;
Irządze;01.01.2011;
Kluczewsko;01.01.2011;
Klwów;01.01.2011;
Kobiele Wielkie;01.01.2011;
Kodrąb;01.01.2011;
Koluszki;01.01.2011;
Koniecpol;01.01.2011;
Końskie;01.01.2011;
Kozłów;01.01.2011;
Krasocin;01.01.2011;
Kroczyce;01.01.2011;
Lelów;01.01.2011;
Lubochnia;01.01.2011;
Łęki Szlacheckie;01.01.2011;
Łopuszno;01.01.2011;
Magnuszew;01.01.2011;
Masłowice;01.01.2011;
Mniów;01.01.2011;
Mniszków;01.01.2011;
Mogielnica;01.01.2011;
Moskorzew;01.01.2011;
Moszczenica;01.01.2011;
Niegowa;01.01.2011;
Nowe Miasto nad Pilicą;01.01.2011;
Nowosolna;01.01.2011;
Odrzywół;01.01.2011;
Ogrodzieniec;01.01.2011;
Opoczno;01.01.2011;
Paradyż;01.01.2011;
Pilica;01.01.2011;
Piotrków Trybunalski;01.01.2011;
Poświętne;01.01.2011;
Promna;01.01.2011;
Przedbórz;01.01.2011;
Przysucha;01.01.2011;
Radoszyce;01.01.2011;
Radzanów;01.01.2011;
Ręczno;01.01.2011;
Rokiciny;01.01.2011;
Rozprza;01.01.2011;
Ruda Maleniecka;01.01.2011;
Rusinów;01.01.2011;
Rzeczyca;01.01.2011;
Sadkowice;01.01.2011;
Secemin;01.01.2011;
Sławno;01.01.2011;
Słupia;01.01.2011;
Słupia Konecka;01.01.2011;
Smyków;01.01.2011;
Stąporków;01.01.2011;
Stromiec;01.01.2011;
Sulejów;01.01.2011;
Szczekociny;01.01.2011;
Tomaszów Mazowiecki miasto;01.01.2011;
Tomaszów Mazowiecki wiejski;01.01.2011;
Tuszyn;01.01.2011;
Ujazd;01.01.2011;
Warka;01.01.2011;
Wielgomłyny;01.01.2011;
Włodowice;01.01.2011;
Włoszczowa;01.01.2011;
Wola Krzysztoporska;01.01.2011;
Wolbórz;01.01.2011;
Wolbrom;01.01.2011;
Wyśmierzyce;01.01.2011;
Zagnańsk;01.01.2011;
Zawiercie;01.01.2011;
Żarnowiec;01.01.2011;
Żarnów;01.01.2011;
Żytno;01.01.2011;
Aleksandrów;01.01.2012;
Andrespol;01.01.2012;
Belsk Duży;01.01.2012;
Będków;01.01.2012;
Białaczów;01.01.2012;
Białobrzegi;01.01.2012;
Bliżyn;01.01.2012;
Błędów;01.01.2012;
Brójce;01.01.2012;
Budziszewice;01.01.2012;
Charsznica;01.01.2012;
Czarnocin;01.01.2012;
Czerniewice;01.01.2012;
Drzewica;01.01.2012;
Fałków;01.01.2012;
Gielniów;01.01.2012;
Głowaczów;01.01.2012;
Gorzkowice;01.01.2012;
Goszczyn;01.01.2012;
Gowarczów;01.01.2012;
Grabica;01.01.2012;
Grabów nad Pilicą;01.01.2012;
Inowłódz;01.01.2012;
Irządze;01.01.2012;
Kluczewsko;01.01.2012;
Klwów;01.01.2012;
Kobiele Wielkie;01.01.2012;
Kodrąb;01.01.2012;
Koluszki;01.01.2012;
Koniecpol;01.01.2012;
Końskie;01.01.2012;
Kozłów;01.01.2012;
Krasocin;01.01.2012;
Kroczyce;01.01.2012;
Lelów;01.01.2012;
Lubochnia;01.01.2012;
Łęki Szlacheckie;01.01.2012;
Łopuszno;01.01.2012;
Magnuszew;01.01.2012;
Masłowice;01.01.2012;
Mniów;01.01.2012;
Mniszków;01.01.2012;
Mogielnica;01.01.2012;
Moskorzew;01.01.2012;
Moszczenica;01.01.2012;
Niegowa;01.01.2012;
Nowe Miasto nad Pilicą;01.01.2012;
Nowosolna;01.01.2012;
Odrzywół;01.01.2012;
Ogrodzieniec;01.01.2012;
Opoczno;01.01.2012;
Paradyż;01.01.2012;
Pilica;01.01.2012;
Piotrków Trybunalski;01.01.2012;
Poświętne;01.01.2012;
Promna;01.01.2012;
Przedbórz;01.01.2012;
Przysucha;01.01.2012;
Radoszyce;01.01.2012;
Radzanów;01.01.2012;
Ręczno;01.01.2012;
Rokiciny;01.01.2012;
Rozprza;01.01.2012;
Ruda Maleniecka;01.01.2012;
Rusinów;01.01.2012;
Rzeczyca;01.01.2012;
Sadkowice;01.01.2012;
Secemin;01.01.2012;
Sławno;01.01.2012;
Słupia;01.01.2012;
Słupia Konecka;01.01.2012;
Smyków;01.01.2012;
Stąporków;01.01.2012;
Stromiec;01.01.2012;
Sulejów;01.01.2012;
Szczekociny;01.01.2012;
Tomaszów Mazowiecki miasto;01.01.2012;
Tomaszów Mazowiecki wiejski;01.01.2012;
Tuszyn;01.01.2012;
Ujazd;01.01.2012;
Warka;01.01.2012;
Wielgomłyny;01.01.2012;
Włodowice;01.01.2012;
Włoszczowa;01.01.2012;
Wola Krzysztoporska;01.01.2012;
Wolbórz;01.01.2012;
Wolbrom;01.01.2012;
Wyśmierzyce;01.01.2012;
Zagnańsk;01.01.2012;
Zawiercie;01.01.2012;
Żarnowiec;01.01.2012;
Żarnów;01.01.2012;
Żytno;01.01.2012;
Aleksandrów;01.01.2013;
Andrespol;01.01.2013;
Belsk Duży;01.01.2013;
Będków;01.01.2013;
Białaczów;01.01.2013;
Białobrzegi;01.01.2013;
Bliżyn;01.01.2013;
Błędów;01.01.2013;
Brójce;01.01.2013;
Budziszewice;01.01.2013;
Charsznica;01.01.2013;
Czarnocin;01.01.2013;
Czerniewice;01.01.2013;
Drzewica;01.01.2013;
Fałków;01.01.2013;
Gielniów;01.01.2013;
Głowaczów;01.01.2013;
Gorzkowice;01.01.2013;
Goszczyn;01.01.2013;
Gowarczów;01.01.2013;
Grabica;01.01.2013;
Grabów nad Pilicą;01.01.2013;
Inowłódz;01.01.2013;
Irządze;01.01.2013;
Kluczewsko;01.01.2013;
Klwów;01.01.2013;
Kobiele Wielkie;01.01.2013;
Kodrąb;01.01.2013;
Koluszki;01.01.2013;
Koniecpol;01.01.2013;
Końskie;01.01.2013;
Kozłów;01.01.2013;
Krasocin;01.01.2013;
Kroczyce;01.01.2013;
Lelów;01.01.2013;
Lubochnia;01.01.2013;
Łęki Szlacheckie;01.01.2013;
Łopuszno;01.01.2013;
Magnuszew;01.01.2013;
Masłowice;01.01.2013;
Mniów;01.01.2013;
Mniszków;01.01.2013;
Mogielnica;01.01.2013;
Moskorzew;01.01.2013;
Moszczenica;01.01.2013;
Niegowa;01.01.2013;
Nowe Miasto nad Pilicą;01.01.2013;
Nowosolna;01.01.2013;
Odrzywół;01.01.2013;
Ogrodzieniec;01.01.2013;
Opoczno;01.01.2013;
Paradyż;01.01.2013;
Pilica;01.01.2013;
Piotrków Trybunalski;01.01.2013;
Poświętne;01.01.2013;
Promna;01.01.2013;
Przedbórz;01.01.2013;
Przysucha;01.01.2013;
Radoszyce;01.01.2013;
Radzanów;01.01.2013;
Ręczno;01.01.2013;
Rokiciny;01.01.2013;
Rozprza;01.01.2013;
Ruda Maleniecka;01.01.2013;
Rusinów;01.01.2013;
Rzeczyca;01.01.2013;
Sadkowice;01.01.2013;
